#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
6,1679938228,ubuntu,20879,1296095,263,20931,34,78305,41558,7131,0.0012511070017353,6604,0.0615880580007797,7058,0.0048487260010006,7149,0.0011026060001313,141092,3
6,1679939128,hub,21463,1324642,1125,20935,34,191634,48160,9092,0.0013603099996544,8420,0.0632064790006552,9199,0.005570114000875,9110,0.0013538980001612,166476,4
7,1679939128,centos,19688,690863,263,10609,34,77125,41144,7507,0.0012013089999527,6956,0.0616958720002003,7409,0.0048255780002364,7525,0.0011180820001754,124619,3
7,1679939128,debian,19613,509548,263,11296,34,79725,57044,8881,0.0018174950000684,8168,0.0654105310004524,8413,0.0065466369997011,8899,0.0015784069983055,96006,2
6,1679939128,rhel,17983,690296,262,14920,34,117122,40,39,0.0001505370000813,88,0.0505672099989169,66,7.918799929029774e-05,57,0.0001003220004349,23,3
7,1679939128,ubuntu,20559,1287662,263,20931,34,81212,36104,6667,0.0010289049987477,6212,0.0596645949990488,6879,0.0043839659992954,6685,0.0009163869999611,114844,3
7,1679940028,hub,21553,1322217,1125,20935,34,188027,42297,8117,0.001280205000512,7500,0.0623209049990691,8107,0.004915389999951,8135,0.0011604120008996,143361,2
8,1679940028,centos,19721,691769,263,10609,34,77551,44781,7653,0.0012564539993036,7084,0.0621228059990244,7475,0.0052980500004196,7671,0.0012738890000036,141815,3
8,1679940028,debian,19892,510408,263,11296,34,79688,50372,8217,0.0014925340001354,7624,0.0636020160000043,7976,0.0057702209996932,8235,0.0014226860002963,159464,3
7,1679940028,rhel,17983,690296,262,14920,34,117122,40,39,8.564400013710838e-05,88,0.0507575689989607,65,8.547899960831273e-05,57,6.540200047311373e-05,23,3
8,1679940028,ubuntu,20980,1302396,263,20931,34,78551,43600,7265,0.0012152649997005,6764,0.0617303310009447,7143,0.0051075450010102,7283,0.0010727560002123,131648,3
8,1679940928,hub,21479,1317432,1125,20935,34,187597,37920,7459,0.0012155780004832,6920,0.0619316869997419,7607,0.0045715320011368,7477,0.0010051949993794,112688,3
9,1679940928,centos,19898,697768,263,10609,34,77737,53451,8492,0.0015938769993226,7820,0.064471173000129,8074,0.0062096410001686,8510,0.0014517959989461,158272,3
9,1679940928,debian,19266,493739,263,11296,34,79248,41018,7409,0.0012927830011904,6844,0.0636624119997577,7383,0.005030843998611,7427,0.0011234009998588,138472,3
8,1679940928,rhel,17983,690296,262,14920,34,117122,40,39,0.0001002949993562,88,0.0521561469995504,65,0.000108246000309,57,0.0001744519995554,23,3
9,1679940928,ubuntu,20689,1293161,263,20931,34,80730,46513,7666,0.0013391739994403,7076,0.0638324729989108,7567,0.0055043789998308,7684,0.001207745001011,120092,3
9,1679941828,hub,21425,1316461,1125,20935,34,188097,32173,6913,0.0009985540000343,6432,0.058858988000793,7248,0.0040762749995337,6931,0.0008329169995704,115251,3
10,1679941828,centos,19712,689177,263,10609,34,77522,47652,7790,0.0013954200003354,7184,0.0629539109995676,7474,0.0055964780003705,7808,0.0012755799998558,140323,3
10,1679941828,debian,19431,498896,263,11296,34,79221,34935,6863,0.0011035120005544,6380,0.0600653280016558,6964,0.004225292999763,6881,0.0010361240001657,134488,3
9,1679941828,rhel,17983,690296,262,14920,34,117122,40,39,7.593600093969144e-05,88,0.0508435230003669,64,9.520500134385657e-05,57,6.80900011502672e-05,23,3
10,1679941828,ubuntu,20739,1296438,263,20931,34,78746,38317,6894,0.001053949999914,6384,0.0607958860000508,6989,0.0045986290006112,6912,0.0010425070013297,125997,3
10,1679942728,hub,21610,1328657,1125,20935,34,188179,51113,9273,0.0014153529991745,8552,0.0635753330006991,9170,0.0057974749997811,9291,0.0013240799999039,162700,3
11,1679942728,centos,19774,689129,263,10609,34,77426,42794,7545,0.0012834860008297,6980,0.0618735649986774,7398,0.0050492059999669,7563,0.0011310659992886,139212,3
11,1679942728,debian,19684,501171,263,11296,34,79102,39389,7200,0.001190779999888,6692,0.061709976000202,7228,0.004734031001135,7218,0.0011137510009575,92459,2
10,1679942728,rhel,17983,690296,262,14920,34,117122,40,40,9.665200013841968e-05,88,0.0509132569986832,64,8.648899893159978e-05,58,9.889099965221249e-05,23,3
11,1679942728,ubuntu,20730,1294100,263,20931,34,78751,36318,6425,0.001106465999328,5988,0.060613915000431,6521,0.0043903900004806,6443,0.0010208750009041,124881,3
11,1679943628,hub,21484,1323930,1125,20935,34,191131,54695,9389,0.0015471550013899,8660,0.0655081990007602,9305,0.0064738310011307,9407,0.0014826440001343,151695,3
12,1679943628,centos,19680,689196,263,10609,34,77340,41200,7074,0.0012443479990906,6576,0.0611910749994422,7022,0.0049421160001656,7092,0.0010706100001698,121982,3
